KIDSDRIV,AGE,HOMEKIDS,YOJ,TIF,CLM_FREQ,MVR_PTS,CAR_AGE,Income_converted,HOME_VAL_converted,BLUEBOOK_converted,LE_PARENT1,LE_MSTATUS,LE_EDUCATION,LE_CAR_USE,LE_CAR_TYPE,LE_REVOKED
0,34.0,4,16.0,11,0,0,6.0,49923.0,152311.0,34700.0,0,0,0,0,1,0
0,56.0,0,12.0,7,0,0,19.0,84186.0,266968.0,15520.0,0,0,2,1,0,0
3,42.0,3,6.0,1,2,6,1.0,19502.0,112001.0,17680.0,0,0,0,0,0,0
0,52.0,0,0.0,1,0,1,6.0,0.0,87925.0,9280.0,0,1,4,0,5,0
0,28.0,3,9.0,4,0,4,4.0,94863.0,269454.0,13790.0,1,1,1,1,2,0
0,35.0,2,8.0,1,0,0,1.0,44680.0,184181.0,9470.0,0,0,4,1,2,0
0,51.0,0,13.0,1,0,0,11.0,34658.0,159187.0,15660.0,0,0,1,1,0,0
0,50.0,0,0.0,1,1,0,15.0,0.0,110784.0,18660.0,0,1,2,1,5,0
0,50.0,0,12.0,7,4,4,1.0,29296.0,173233.0,26950.0,0,0,0,1,4,0
0,56.0,0,15.0,6,0,0,15.0,82370.0,274135.0,15340.0,0,0,2,1,5,0
0,52.0,0,14.0,6,2,2,9.0,52939.0,251642.0,9290.0,0,0,1,1,5,0
0,27.0,2,14.0,11,0,2,1.0,1212.0,0.0,4200.0,0,0,4,1,0,0
0,66.0,0,10.0,1,0,3,15.0,49077.0,191144.0,18140.0,0,1,2,1,3,0
0,49.0,0,14.0,6,0,0,1.0,139423.0,370415.0,27600.0,0,0,3,0,1,0
0,44.0,1,11.0,10,0,0,1.0,54355.0,234437.0,5900.0,0,0,4,0,2,0
0,38.0,2,13.0,7,3,4,1.0,29674.0,0.0,8250.0,1,1,4,1,0,0
0,39.0,0,12.0,1,0,0,12.0,71345.0,259414.0,29690.0,0,0,1,0,2,0
0,49.0,0,10.0,1,0,1,8.0,73251.0,0.0,15480.0,0,1,4,0,0,0
0,45.0,3,16.0,1,0,0,28.0,60945.0,189813.0,33160.0,0,0,2,0,4,0
0,23.0,2,0.0,6,4,0,5.0,0.0,0.0,3800.0,0,0,0,1,5,0
0,47.0,0,11.0,14,2,4,7.0,92214.0,266417.0,19200.0,0,1,1,1,5,0
0,49.0,0,14.0,1,0,0,4.0,21494.0,145029.0,16860.0,0,0,0,0,5,0
0,62.0,0,14.0,6,0,0,20.0,89562.0,255843.0,22220.0,0,0,2,1,5,1
0,60.0,0,15.0,6,2,7,14.0,91519.0,251790.0,24590.0,0,0,2,0,1,0
0,61.0,0,12.0,12,0,0,7.0,121688.0,378194.0,19770.0,0,0,2,1,3,0
1,40.0,3,9.0,11,0,2,9.0,130051.0,379840.0,23470.0,0,0,1,0,0,0
0,52.0,0,13.0,6,3,0,1.0,32636.0,132838.0,9960.0,0,0,0,1,2,0
0,46.0,0,7.0,1,0,0,17.0,152992.0,366152.0,21400.0,0,0,3,1,0,0
0,41.0,0,7.0,6,2,5,15.0,92842.0,286113.0,25810.0,0,1,2,0,1,0
0,46.0,0,7.0,1,0,2,6.0,44358.0,169297.0,10540.0,0,0,0,1,5,0
0,52.0,0,13.0,1,3,5,10.0,143242.0,364925.0,23340.0,0,1,1,0,1,0
0,39.0,1,8.0,1,0,0,14.0,70153.0,214644.0,30840.0,1,1,1,1,0,0
0,59.0,0,14.0,6,2,2,7.0,23892.0,0.0,23830.0,0,1,0,0,1,0
0,32.0,2,0.0,1,0,3,8.0,0.0,0.0,9640.0,1,1,4,1,3,1
0,49.0,0,15.0,6,1,4,5.0,62786.0,221669.0,19510.0,0,0,4,1,4,1
0,40.0,3,18.0,4,0,2,6.0,19326.0,123479.0,1500.0,0,0,0,1,0,0
0,44.0,3,0.0,6,2,10,1.0,0.0,79582.0,11530.0,0,0,4,1,3,0
0,39.0,3,13.0,13,0,0,1.0,11585.0,0.0,11620.0,0,0,4,1,5,0
1,41.0,1,5.0,6,0,0,1.0,34304.0,97504.0,9030.0,1,1,4,1,2,0
3,41.0,3,0.0,1,0,0,1.0,0.0,0.0,5990.0,0,0,4,1,5,0
3,39.0,3,11.0,6,0,1,11.0,121626.0,306169.0,17560.0,1,1,1,1,5,0
0,48.0,0,9.0,1,0,1,8.0,12169.0,0.0,7520.0,0,0,4,1,3,0
0,53.0,0,12.0,1,0,0,1.0,47927.0,193615.0,6800.0,0,0,4,0,2,0
0,48.0,0,13.0,9,2,0,9.0,34071.0,0.0,18690.0,0,1,4,1,0,0
0,57.0,2,13.0,10,0,0,20.0,94167.0,0.0,21900.0,1,1,3,1,4,0
0,30.0,2,10.0,3,2,4,1.0,7132.0,0.0,4700.0,1,1,0,0,2,0
0,41.0,1,13.0,4,1,0,12.0,7029.0,112990.0,12880.0,0,0,1,1,2,0
0,45.0,0,11.0,1,2,4,17.0,92792.0,0.0,6000.0,0,1,2,1,3,0
0,42.0,0,14.0,1,3,0,10.0,120315.0,0.0,6760.0,0,1,3,1,2,0
0,50.0,0,12.0,1,0,2,1.0,14600.0,117538.0,17360.0,0,0,4,1,0,0
0,32.0,2,10.0,17,1,6,11.0,40536.0,96634.0,8750.0,0,0,3,1,0,0
0,47.0,0,12.0,4,0,0,7.0,36150.0,174964.0,9810.0,0,0,0,1,5,0
0,43.0,0,12.0,4,2,0,1.0,46793.0,184381.0,10340.0,0,0,4,0,2,0
0,36.0,0,8.0,11,2,6,1.0,21926.0,106069.0,7290.0,0,0,1,0,2,0
0,46.0,0,14.0,1,0,1,1.0,9633.0,128109.0,22000.0,0,1,0,1,0,0
0,39.0,0,13.0,10,0,0,1.0,10315.0,0.0,16570.0,0,0,0,1,5,0
0,47.0,0,12.0,4,0,0,11.0,104271.0,265153.0,36120.0,0,0,2,0,1,0
0,38.0,3,9.0,10,0,0,5.0,48606.0,224500.0,17810.0,0,0,4,0,5,0
0,40.0,2,13.0,9,3,7,7.0,3169.0,0.0,5820.0,1,1,4,0,5,0
0,59.0,0,12.0,1,0,0,4.0,126093.0,0.0,14110.0,0,1,2,1,5,1
0,52.0,0,11.0,10,0,0,18.0,137357.0,327227.0,17750.0,0,1,2,1,0,0
0,36.0,1,5.0,1,0,2,10.0,103076.0,269435.0,11750.0,0,0,1,1,5,0
0,34.0,1,12.0,3,0,2,1.0,87295.0,264318.0,32190.0,0,0,4,0,1,0
0,50.0,0,14.0,15,0,1,18.0,26537.0,163884.0,10300.0,0,0,2,0,2,0
3,38.0,3,9.0,1,4,6,13.0,38212.0,160245.0,22320.0,1,1,1,0,4,0
0,49.0,0,13.0,3,0,1,4.0,94072.0,251912.0,6810.0,0,0,2,1,5,0
0,51.0,0,7.0,1,4,3,21.0,54804.0,0.0,28290.0,0,1,2,0,2,0
0,53.0,0,12.0,10,1,3,1.0,51435.0,0.0,29260.0,0,1,4,0,1,0
0,41.0,0,11.0,1,0,0,8.0,112913.0,317850.0,16890.0,0,0,1,0,4,0
0,47.0,0,9.0,4,1,2,8.0,18896.0,106991.0,12250.0,0,1,1,0,0,1
0,57.0,0,16.0,1,0,2,8.0,39907.0,214055.0,11190.0,0,0,0,1,5,0
0,38.0,2,10.0,1,0,0,2.0,40180.0,164346.0,3320.0,0,0,2,1,3,0
0,40.0,2,10.0,11,1,3,1.0,98471.0,309481.0,6460.0,1,1,2,1,5,0
0,46.0,0,12.0,2,2,4,10.0,24306.0,150872.0,27790.0,0,0,2,0,1,0
0,50.0,0,14.0,8,0,2,1.0,62494.0,210162.0,13760.0,0,0,4,1,0,0
0,44.0,3,15.0,4,1,2,2.0,29502.0,141516.0,28750.0,0,0,0,1,0,0
0,49.0,0,12.0,4,0,0,1.0,39934.0,178681.0,11750.0,0,0,4,1,5,0
0,60.0,0,9.0,9,2,4,15.0,125893.0,0.0,7500.0,0,1,3,0,2,0
0,34.0,1,5.0,6,3,0,1.0,33865.0,131342.0,16350.0,0,0,4,0,4,0
0,44.0,0,12.0,14,0,0,11.0,3985.0,66681.0,15350.0,0,1,4,1,0,0
0,55.0,0,6.0,10,0,0,19.0,51516.0,0.0,11940.0,0,1,2,0,2,0
0,51.0,0,14.0,10,0,1,11.0,57775.0,216780.0,7780.0,0,0,1,0,2,0
0,46.0,0,12.0,1,1,3,1.0,30111.0,164877.0,19780.0,0,1,0,1,4,0
0,49.0,0,6.0,4,0,0,19.0,89547.0,0.0,10450.0,0,1,2,1,3,0
0,54.0,0,8.0,4,0,1,10.0,90149.0,261569.0,15910.0,0,0,2,1,5,0
0,42.0,2,13.0,1,1,0,9.0,7313.0,94969.0,7520.0,0,0,1,1,3,0
0,48.0,1,13.0,8,3,6,15.0,57973.0,231145.0,12100.0,1,1,2,0,2,0
0,44.0,0,10.0,6,1,0,4.0,61597.0,207095.0,19310.0,0,0,1,0,4,0
0,54.0,0,9.0,6,3,6,14.0,50925.0,0.0,8780.0,0,1,2,1,3,0
0,47.0,0,12.0,6,0,2,1.0,48776.0,187090.0,17910.0,0,0,4,0,5,0
2,43.0,3,14.0,1,0,0,1.0,40158.0,171950.0,9820.0,1,1,4,0,2,0
0,46.0,0,7.0,6,0,4,1.0,26697.0,134863.0,15080.0,0,0,0,1,5,1
0,44.0,4,0.0,4,1,0,13.0,0.0,100846.0,1500.0,0,0,1,1,3,0
0,33.0,1,14.0,4,1,4,1.0,52682.0,185164.0,10070.0,1,1,1,1,0,0
0,46.0,0,12.0,6,0,0,1.0,87380.0,249873.0,1500.0,0,1,1,1,3,0
0,53.0,0,8.0,4,0,2,11.0,51802.0,0.0,24600.0,0,1,4,1,0,0
0,33.0,2,11.0,6,2,2,1.0,77951.0,226375.0,22310.0,1,1,1,1,0,0
0,49.0,0,12.0,1,0,0,18.0,71512.0,0.0,13550.0,0,1,2,1,3,0
1,44.0,2,12.0,6,0,2,12.0,48288.0,0.0,13280.0,1,1,4,0,5,0
1,41.0,3,17.0,13,0,1,1.0,70870.0,218586.0,17810.0,0,0,4,1,4,0
1,40.0,3,17.0,10,0,1,1.0,27204.0,170218.0,10700.0,0,0,4,1,0,0
0,48.0,0,15.0,1,2,0,6.0,36098.0,0.0,9910.0,0,1,4,1,2,0
0,40.0,0,12.0,1,0,2,7.0,114853.0,326499.0,11970.0,0,0,3,1,5,0
0,57.0,0,17.0,6,0,0,1.0,102493.0,284774.0,31030.0,0,0,1,0,1,0
0,36.0,2,16.0,4,3,0,1.0,71487.0,248456.0,5100.0,0,0,1,1,3,0
0,40.0,0,9.0,1,0,2,14.0,70381.0,267721.0,13790.0,0,0,2,1,5,1
0,55.0,0,16.0,4,0,2,13.0,138281.0,375117.0,24770.0,0,0,3,0,1,0
0,47.0,0,12.0,13,0,0,5.0,54005.0,232029.0,11600.0,0,0,4,0,2,0
0,46.0,0,12.0,4,0,2,4.0,14704.0,80659.0,10620.0,0,0,0,1,5,0
0,44.0,1,9.0,4,0,0,10.0,5952.0,0.0,6500.0,0,0,1,0,2,0
0,49.0,0,8.0,4,0,0,8.0,29844.0,179613.0,19080.0,0,0,4,1,0,0
0,47.0,0,15.0,10,0,0,4.0,40495.0,196730.0,10250.0,0,0,0,1,2,0
0,37.0,0,13.0,1,0,1,15.0,82444.0,226818.0,9740.0,0,1,2,0,2,0
0,32.0,2,13.0,12,2,2,1.0,74702.0,183767.0,18820.0,0,0,0,1,0,0
0,58.0,0,11.0,11,1,7,21.0,98263.0,296689.0,31700.0,0,0,2,1,4,1
0,41.0,0,7.0,1,0,0,7.0,36978.0,145526.0,9300.0,0,0,4,0,2,0
0,28.0,0,8.0,7,0,1,8.0,62294.0,177386.0,18370.0,0,1,4,0,4,0
0,40.0,0,14.0,6,0,0,6.0,42420.0,192942.0,25200.0,0,0,0,0,2,0
0,59.0,0,10.0,6,1,5,7.0,52356.0,0.0,6740.0,0,1,0,1,0,0
0,66.0,0,13.0,4,0,2,1.0,14815.0,87347.0,13390.0,0,0,4,1,3,0
0,41.0,3,14.0,4,2,3,10.0,27045.0,205386.0,18800.0,0,0,4,0,5,0
0,47.0,0,13.0,6,0,1,15.0,116008.0,318397.0,6200.0,0,0,2,1,5,0
2,42.0,2,15.0,10,0,0,1.0,161203.0,401918.0,5700.0,0,0,3,1,2,0
0,50.0,0,11.0,1,2,0,19.0,93034.0,273493.0,6600.0,0,1,2,1,3,0
0,32.0,3,15.0,1,0,0,12.0,97645.0,328265.0,20900.0,1,1,1,1,5,0
0,40.0,0,12.0,1,0,0,4.0,48640.0,0.0,10360.0,0,1,4,0,2,0
0,54.0,0,9.0,8,1,0,9.0,145319.0,395969.0,24290.0,0,1,2,0,2,0
0,47.0,0,7.0,7,0,1,12.0,53215.0,185654.0,14260.0,0,1,1,1,0,0
0,53.0,0,0.0,3,0,1,11.0,0.0,0.0,21200.0,0,1,1,0,5,0
0,54.0,0,5.0,1,0,0,15.0,57706.0,214111.0,13240.0,0,0,2,1,5,1
0,54.0,0,7.0,1,0,0,9.0,91916.0,266099.0,16090.0,0,0,1,1,5,0
0,60.0,0,13.0,10,0,0,20.0,104827.0,324437.0,18420.0,0,1,3,1,4,0
0,36.0,0,12.0,10,0,0,10.0,33284.0,141018.0,14640.0,0,0,4,0,5,0
0,50.0,0,0.0,1,0,2,1.0,0.0,0.0,6520.0,0,1,4,1,5,1
0,29.0,1,11.0,1,3,9,9.0,51122.0,201650.0,10470.0,0,0,1,0,5,1
0,39.0,1,13.0,3,0,4,13.0,97870.0,308324.0,19670.0,0,0,2,1,0,0
0,37.0,0,11.0,4,0,3,13.0,24447.0,143909.0,19720.0,0,0,2,1,5,1
1,43.0,2,11.0,7,0,0,1.0,24124.0,157794.0,8140.0,0,0,0,1,5,0
0,40.0,2,14.0,10,0,0,6.0,56070.0,216157.0,14000.0,0,0,1,1,5,0
0,46.0,0,12.0,1,0,3,1.0,35018.0,177267.0,28470.0,0,0,4,1,2,0
0,46.0,0,8.0,1,2,7,6.0,79317.0,241733.0,6100.0,0,0,4,1,2,0
0,43.0,0,10.0,6,0,4,1.0,31428.0,0.0,5800.0,0,1,4,1,2,0
0,40.0,2,15.0,7,1,3,1.0,36846.0,138850.0,9180.0,0,0,3,1,2,0
0,46.0,0,13.0,9,0,0,13.0,64030.0,191941.0,7900.0,0,0,2,1,0,1
0,53.0,0,12.0,1,0,0,10.0,32354.0,179566.0,27550.0,0,0,1,1,2,0
0,48.0,0,8.0,6,0,3,18.0,118987.0,296135.0,21280.0,0,0,3,1,0,0
3,44.0,4,10.0,11,0,5,1.0,73724.0,0.0,19330.0,1,1,4,0,0,0
1,38.0,1,9.0,10,0,2,1.0,23221.0,108815.0,5300.0,0,0,0,0,2,0
0,40.0,3,10.0,6,0,3,1.0,15519.0,158830.0,7050.0,1,1,0,1,2,0
0,54.0,0,12.0,6,0,0,1.0,38349.0,169694.0,10620.0,0,1,1,1,3,0
0,37.0,4,17.0,1,0,0,1.0,22699.0,0.0,7470.0,1,1,0,1,2,0
1,44.0,1,11.0,4,1,4,1.0,20526.0,129198.0,16180.0,0,0,4,1,5,0
0,57.0,0,12.0,11,0,0,10.0,49856.0,221500.0,18210.0,0,0,2,0,4,0
0,52.0,0,9.0,1,0,2,10.0,71093.0,229315.0,26270.0,0,0,1,0,0,1
0,56.0,0,16.0,7,0,0,13.0,47862.0,0.0,27320.0,0,1,2,1,0,0
0,51.0,0,12.0,1,0,2,21.0,120824.0,0.0,20650.0,0,1,3,1,0,0
0,42.0,0,10.0,4,2,0,13.0,90937.0,287892.0,1500.0,0,0,1,1,0,0
0,43.0,0,9.0,6,2,4,14.0,101805.0,0.0,35240.0,0,1,1,0,1,1
1,45.0,1,14.0,4,0,0,24.0,49557.0,189358.0,10960.0,0,0,2,1,5,0
0,48.0,0,12.0,1,0,0,11.0,131641.0,311314.0,25010.0,0,1,2,1,0,0
0,45.0,2,1.0,16,0,0,5.0,42133.0,184640.0,10530.0,0,0,0,1,3,0
0,52.0,0,14.0,7,0,0,10.0,27616.0,167006.0,9460.0,0,0,2,1,0,0
0,50.0,0,0.0,1,0,0,5.0,0.0,0.0,9490.0,0,1,0,1,5,0
0,47.0,0,14.0,1,0,1,21.0,99175.0,268846.0,26730.0,0,0,3,0,2,0
0,36.0,2,14.0,1,2,3,13.0,58839.0,170516.0,7380.0,0,0,2,0,2,1
0,63.0,0,0.0,3,2,0,15.0,0.0,111129.0,10440.0,0,0,3,1,3,0
0,45.0,0,12.0,1,0,0,12.0,91613.0,269046.0,15160.0,0,0,2,1,5,0
2,45.0,2,17.0,3,3,2,1.0,34890.0,168229.0,11660.0,0,0,4,1,0,0
0,46.0,0,5.0,4,0,0,14.0,75983.0,252802.0,22100.0,0,0,2,0,4,0
2,43.0,2,14.0,4,0,5,1.0,71964.0,225292.0,21680.0,0,0,4,1,5,0
0,45.0,2,13.0,4,3,7,4.0,39163.0,168058.0,9920.0,0,0,4,1,5,0
0,47.0,0,10.0,4,3,1,9.0,129926.0,0.0,15650.0,0,1,2,1,0,0
0,37.0,3,13.0,6,3,2,1.0,39923.0,133822.0,16530.0,0,0,0,0,4,0
0,56.0,2,12.0,10,0,0,11.0,60286.0,213596.0,23480.0,0,0,1,0,0,0
0,48.0,2,11.0,4,0,0,13.0,138905.0,387272.0,29980.0,0,0,2,0,1,0
0,37.0,0,12.0,6,0,0,1.0,49548.0,0.0,7120.0,0,1,4,1,5,0
0,39.0,1,13.0,6,0,1,10.0,91164.0,258261.0,14680.0,0,0,1,1,0,0
0,52.0,0,13.0,1,0,0,1.0,1702.0,0.0,1670.0,0,0,4,1,3,0
0,52.0,0,16.0,6,0,0,11.0,76954.0,249290.0,19540.0,0,1,1,1,0,1
2,43.0,4,0.0,6,0,2,1.0,0.0,98245.0,14000.0,0,0,4,1,5,0
0,49.0,0,10.0,1,0,0,7.0,82130.0,212655.0,13050.0,0,0,1,1,5,0
0,66.0,0,13.0,4,0,0,9.0,61473.0,248544.0,24100.0,0,0,1,1,5,0
0,44.0,2,13.0,1,0,0,1.0,60448.0,218546.0,7540.0,0,0,4,1,3,0
0,57.0,0,9.0,4,0,0,19.0,50443.0,206150.0,17960.0,0,0,2,1,5,0
0,51.0,1,11.0,1,2,7,14.0,66501.0,197809.0,13250.0,0,0,1,0,2,0
0,51.0,0,14.0,1,1,4,10.0,24789.0,137805.0,10900.0,0,1,3,1,0,0
0,55.0,0,15.0,11,0,0,8.0,121913.0,0.0,18080.0,0,1,2,1,5,0
0,57.0,0,14.0,13,0,0,21.0,75468.0,249251.0,14750.0,0,0,2,1,0,0
0,44.0,0,10.0,4,0,0,7.0,72118.0,224429.0,13110.0,0,1,1,0,5,0
0,48.0,0,13.0,3,0,0,6.0,20887.0,159568.0,18570.0,0,0,0,1,4,0
0,44.0,0,10.0,1,0,0,6.0,66642.0,264360.0,15570.0,0,1,4,0,0,0
0,48.0,0,7.0,4,0,0,11.0,70308.0,0.0,27540.0,0,1,1,1,2,0
0,51.0,0,15.0,4,0,0,14.0,51734.0,233529.0,11770.0,0,0,1,1,2,0
0,28.0,3,0.0,4,2,8,5.0,0.0,0.0,1500.0,0,0,0,1,5,0
0,39.0,0,10.0,6,0,5,8.0,76150.0,219917.0,14010.0,0,0,1,0,0,0
0,55.0,0,14.0,1,3,0,11.0,72337.0,210378.0,27130.0,0,0,3,0,1,0
0,37.0,2,11.0,1,0,0,8.0,135035.0,353160.0,32090.0,0,0,1,1,0,0
1,38.0,3,12.0,10,0,0,14.0,6611.0,122610.0,11810.0,0,0,1,1,2,0
0,30.0,1,12.0,1,0,0,2.0,89216.0,238191.0,10420.0,0,0,1,0,2,0
0,45.0,0,14.0,10,0,0,8.0,41492.0,198232.0,17670.0,0,0,0,1,2,0
0,46.0,0,0.0,1,0,1,9.0,0.0,59722.0,6140.0,0,0,1,1,5,0
0,62.0,0,12.0,1,2,3,6.0,0.0,0.0,28120.0,0,0,0,1,3,0
0,66.0,1,17.0,9,0,4,20.0,88979.0,275391.0,10400.0,0,0,3,1,3,0
0,47.0,0,8.0,6,2,5,1.0,18444.0,0.0,19450.0,0,0,4,0,5,0
0,46.0,0,10.0,4,3,3,11.0,107872.0,324375.0,12290.0,0,0,2,1,3,0
0,38.0,1,12.0,10,0,0,1.0,35183.0,0.0,16370.0,1,1,4,1,5,0
3,47.0,0,12.0,1,0,1,1.0,30835.0,141710.0,6000.0,0,0,0,1,5,0
0,31.0,1,9.0,6,1,3,1.0,89640.0,223021.0,21950.0,0,0,0,0,4,0
1,41.0,3,16.0,6,0,0,8.0,5316.0,62643.0,9160.0,0,0,1,1,5,1
0,51.0,0,10.0,4,0,2,1.0,117791.0,343849.0,19730.0,0,1,3,1,4,0
0,64.0,0,10.0,1,0,2,1.0,96238.0,290724.0,13130.0,0,0,2,1,5,0
0,45.0,1,11.0,6,0,2,1.0,3006.0,0.0,30050.0,1,1,4,0,4,1
0,41.0,1,12.0,4,0,0,11.0,141776.0,352314.0,22220.0,0,0,3,0,4,0
2,38.0,2,0.0,1,1,3,13.0,0.0,0.0,5300.0,1,1,1,1,5,0
2,41.0,3,15.0,1,0,0,1.0,83894.0,202030.0,25310.0,0,0,1,0,1,0
0,53.0,0,13.0,10,1,7,10.0,75777.0,277382.0,14380.0,0,0,1,0,0,0
0,53.0,0,15.0,6,1,6,12.0,63049.0,197046.0,13010.0,0,0,1,1,0,0
0,40.0,2,9.0,14,0,0,1.0,31957.0,143354.0,19930.0,0,0,0,1,4,0
0,51.0,0,13.0,6,1,0,1.0,81948.0,308197.0,7850.0,0,0,4,1,3,0
0,39.0,1,8.0,1,2,4,21.0,55134.0,207766.0,10910.0,0,0,2,1,5,0
0,53.0,0,14.0,6,0,0,12.0,55770.0,163735.0,12380.0,0,0,2,1,0,0
0,28.0,1,8.0,9,3,5,1.0,4843.0,0.0,1980.0,1,1,0,1,0,0
0,58.0,2,17.0,4,0,0,5.0,51318.0,201105.0,13080.0,0,0,1,1,0,0
0,48.0,0,11.0,4,0,0,9.0,45534.0,0.0,31500.0,0,1,4,0,5,0
0,39.0,0,10.0,4,0,0,12.0,53918.0,156830.0,10880.0,0,0,1,0,2,0
0,49.0,0,10.0,4,0,1,14.0,75580.0,222553.0,17220.0,0,0,2,1,3,0
0,44.0,1,17.0,9,0,2,6.0,9189.0,73828.0,6820.0,0,0,0,1,5,0
0,28.0,2,8.0,3,0,2,9.0,28472.0,0.0,15920.0,1,1,4,0,0,0
0,52.0,0,14.0,1,0,1,13.0,135116.0,335050.0,17530.0,0,0,3,1,0,1
0,48.0,0,10.0,6,0,0,3.0,45685.0,153261.0,15610.0,0,0,0,1,0,0
0,42.0,1,6.0,6,0,4,5.0,68984.0,219684.0,1500.0,1,1,0,1,0,1
0,65.0,0,17.0,1,0,0,22.0,52074.0,220576.0,10010.0,0,0,2,1,3,0
0,36.0,3,12.0,4,0,0,6.0,17663.0,134466.0,20020.0,1,1,4,1,5,0
0,42.0,0,12.0,12,3,5,1.0,4215.0,0.0,6120.0,0,0,0,1,5,0
0,46.0,0,14.0,7,0,0,7.0,34705.0,173076.0,9570.0,0,0,4,0,2,0
0,52.0,0,13.0,1,0,1,9.0,86756.0,224768.0,11560.0,0,0,2,1,0,0
0,41.0,2,15.0,6,0,3,11.0,97285.0,235369.0,20380.0,0,0,1,0,4,0
0,42.0,0,12.0,1,0,1,11.0,34810.0,0.0,9180.0,0,1,4,0,2,0
0,47.0,0,10.0,1,0,0,1.0,81899.0,232928.0,14390.0,0,1,4,1,0,0
0,51.0,0,12.0,5,2,1,13.0,103029.0,0.0,16900.0,0,1,2,1,4,1
0,53.0,0,13.0,6,0,1,15.0,114746.0,336124.0,12970.0,0,0,2,1,5,0
0,52.0,0,14.0,1,0,2,9.0,40556.0,190086.0,11860.0,0,0,4,0,2,0
0,51.0,0,0.0,6,0,0,7.0,0.0,0.0,6600.0,0,0,4,1,0,0
0,53.0,0,13.0,10,1,1,16.0,74334.0,254789.0,6800.0,0,0,3,1,5,0
1,34.0,1,12.0,4,0,0,6.0,33197.0,123199.0,5100.0,0,0,4,1,5,0
